Selection,View,Channel,Begin Time (s),begin time (hh:mm:ss),Real time,End Time (s),Low Freq (Hz),High Freq (Hz),Begin File,Peak Freq (Hz),Delta Freq (Hz),Dur 90% (s),SNR NIST Quick (dB FS),Delta Time (s),Peak Power Density (dB FS),Call Type,Overlap
80,Spectrogram 1,1,5519.435984,1:31:59,13:52:08,5519.834005,108.696,1530.752,Port Renfrew 3-20200907-130707-355-00003.wav,515.625,1422.056,0.1875,22.97,0.398,-21.85,bark,
31,Spectrogram 1,1,4243.781791,1:10:44,13:30:53,4243.914245,65.051,672.538,Port Renfrew 3-20200907-130707-355-00003.wav,70.312,607.487,0.1042,20.41,0.1325,-28.11,bop,
69,Spectrogram 1,1,4971.01814,1:22:51,13:43:00,4971.136417,83.333,776.398,Port Renfrew 3-20200907-130707-355-00003.wav,140.625,693.065,0.0417,24.24,0.1183,-33.2,bop,
73,Spectrogram 1,1,5134.742049,1:25:35,13:45:44,5136.388224,263.975,388.199,Port Renfrew 3-20200907-130707-355-00003.wav,328.125,124.224,1.0625,20.9,1.6462,-36.4,cry,
20,Spectrogram 1,1,3746.038208,1:02:26,13:22:35,3747.139301,68.323,248.447,Port Renfrew 3-20200907-130707-355-00003.wav,70.312,180.124,0.9792,18.72,1.1011,-34.59,growl,
4,Spectrogram 1,1,3247.120899,0:54:07,13:14:16,3247.230189,159.42,815.145,Port Renfrew 3-20200907-130707-355-00003.wav,492.188,655.725,0.0208,20.09,0.1093,-27.69,horse,yes
5,Spectrogram 1,1,3248.477361,0:54:08,13:14:17,3248.627634,152.174,1210.145,Port Renfrew 3-20200907-130707-355-00003.wav,375,1057.971,0.0625,20.42,0.1503,-29.99,horse,yes
3,Spectrogram 1,1,3244.306692,0:54:04,13:14:13,3244.443304,166.667,1036.232,Port Renfrew 3-20200907-130707-355-00003.wav,445.312,869.565,0.0417,17.92,0.1366,-33.03,horse,yes
70,Spectrogram 1,1,4974.118838,1:22:54,13:43:03,4974.180221,119.048,776.398,Port Renfrew 3-20200907-130707-355-00003.wav,328.125,657.35,0.0208,20.07,0.0614,-33.96,knock,
665,Spectrogram 1,1,4975.494045,1:22:55,13:43:04,4975.559619,92.199,510.638,Port Renfrew 3-20200907-130707-355-00003.wav,140.625,418.439,0.0417,11.02,0.0656,-37.97,knock,
661,Spectrogram 1,1,4972.892952,1:22:53,13:43:02,4972.947597,70.922,744.681,Port Renfrew 3-20200907-130707-355-00003.wav,93.75,673.759,0.0208,21.94,0.0546,-38.55,knock,
81,Spectrogram 1,1,5531.471574,1:32:11,13:52:20,5531.990699,87.992,253.623,Port Renfrew 3-20200907-130707-355-00003.wav,187.5,165.631,0.2917,24.05,0.5191,-21.18,moan,yes
